strategy,points,seed,seconds,best_epoch,background,building,road,water,barren,forest,agriculture,mIoU
uniform,50,1,537.0,10.0,0.4794971213518626,0.3065434741248097,0.2651862686301681,0.6240335412259918,0.3142304501022618,0.3640654383229481,0.1997706615640037,0.3647609936174351
uniform,50,2,562.4,12.0,0.4866816560057507,0.003911424554923,0.0,0.557251129122069,0.1907466185502818,0.0,0.0,0.1769415468904321
uniform,200,0,644.8,12.0,0.4550996590600996,0.3498581256131735,0.4571778427013374,0.6602033581031256,0.357126228406183,0.3586347708273642,0.1562511600282118,0.3991930206770707
uniform,200,1,714.4,12.0,0.4486091199972711,0.3660000425832446,0.2825262978322609,0.6075198914414495,0.3146135426493411,0.29215477360194,0.0960259105998153,0.3439213683864746
uniform,200,2,669.2,11.0,0.4697301153634477,0.4265421749135942,0.4152800368875298,0.6540900795045772,0.319214904507184,0.3722975114766426,0.1993187929489094,0.4080676593716978
stratified,5,0,631.4,12.0,0.2437260511372428,0.2288522815747536,0.1091544102286073,0.2175427572890342,0.1188389208821137,0.0712559789594264,0.0,0.1413386285815968
stratified,5,1,812.9,8.0,0.3158503945376864,0.270082320430199,0.0845738295587088,0.2621668630081534,0.0142734483184117,0.0787227024202564,0.0,0.146524222610488
stratified,5,2,703.2,10.0,0.2651077991355133,0.275627430796497,0.1693535812345344,0.3547721449063963,0.0843208799477104,0.1070874237417247,0.0260247515893959,0.1831848587645388
stratified,20,0,650.3,10.0,0.2598034895643553,0.3127690487333739,0.3238752813019797,0.4552564574593313,0.194800158361293,0.1631971985462012,0.0939196696127673,0.2576601862256145
stratified,20,1,701.4,9.0,0.2472366959540285,0.371657961377515,0.3509655787272874,0.523958996365727,0.2606544083946834,0.2728661136380651,0.1604277855996856,0.3125382200081418
stratified,20,2,331.9,11.0,0.2102022127960544,0.3450149927407342,0.2961228593002467,0.4219603795913693,0.1635927907056541,0.1365467432654842,0.0114431740245586,0.2264118789177288
stratified,50,0,338.6,8.0,0.2687093837792411,0.4018590188463316,0.384833325811256,0.5260540022890243,0.3269240572924738,0.305956213656531,0.2007117669573998,0.3450068240903225
stratified,50,1,309.2,12.0,0.2936818776970645,0.3618392039041837,0.3702861597542897,0.5591740765973956,0.2918250610711388,0.3001220528564634,0.1602103611444823,0.3338769704321455
stratified,50,2,338.5,11.0,0.3658486236050219,0.3885678815435049,0.4306213941547738,0.5440916609421887,0.3283401594775968,0.2678778782200483,0.2470724007175355,0.3674885712372386
stratified,200,0,343.6,12.0,0.2591145050744363,0.4108265345756299,0.3957733462812973,0.5299423570202004,0.3081418348602293,0.2701510477544676,0.249290663147476,0.3461771841019624
stratified,200,1,308.3,9.0,0.2425953187367227,0.4028794708225324,0.3920043276036528,0.5828144874282117,0.2809363744794582,0.3227125832336253,0.1176504004999147,0.3345132804005883
stratified,200,2,300.1,12.0,0.3455480829541931,0.39395531914979,0.4500829581183025,0.488308868501529,0.3103300487424207,0.3146011202089191,0.2073986711049382,0.358603581254299
uniform,50,3,271.3,11,0.44834886653448003,0.2981783159142922,0.3950652035928918,0.6140683714598582,0.306215141346231,0.29953829583882247,0.18968253322374043,0.36444238970147375
uniform,50,4,275.5,11,0.4125375489984427,0.35548258894705365,0.3439021694727484,0.5958071654705401,0.23254311326733057,0.31804337549009404,0.09643321098647312,0.336392738947526
uniform,50,5,274.2,9,0.42620640859182723,0.38786040826517326,0.43338766366109915,0.6419148589739501,0.3150822860671339,0.3964377588750733,0.24675953202592374,0.40680698806574006
stratified,50,3,279.9,12,0.37395046981962976,0.3726623480397664,0.41533647601097107,0.5750765408522697,0.2610115519346817,0.31548130078118686,0.21749741478866683,0.36157372888959605
stratified,50,4,294.3,10,0.3356928780186845,0.39360759609464396,0.3942632588066198,0.6192945523456115,0.31147270526858634,0.3012617864284642,0.20090222710361524,0.3652135720094608
stratified,50,5,286.9,12,0.3107739707788285,0.3700926667834763,0.3898744419530536,0.5595624764786521,0.26259948728149674,0.21589080854599887,0.024782071004132357,0.30479656040366265
